food_code,food_name,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
A001,"Amaranth seed, black (Amaranthus cruentus)",1490.00,356.11,59.98,14.59,5.74,0.88,7.02,1280.00,1033.00,2279.00,181.00,374.00,325.00,2.70,433.00,9.33,0.81,16.46,1.23,5.29,0.02,2.66,0.17,58.67,0.00,1.80,0.00,27.44,0.04,0.04,0.45,0.24,0.50,1.92,27.44,0.00,121.00
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",1489.00,355.87,61.46,13.27,5.56,0.80,7.47,1140.00,1043.00,2266.00,162.00,412.00,270.00,2.81,413.00,8.02,0.56,21.41,0.09,4.44,0.05,2.52,0.15,53.98,0.00,2.50,0.00,24.65,0.04,0.04,0.52,0.28,0.33,1.87,24.65,0.00,59.68
A003,Bajra (Pennisetum typhoideum),1456.00,347.98,61.78,10.96,5.43,0.81,11.49,875.00,1047.00,1984.00,27.35,289.00,124.00,4.11,365.00,6.42,0.54,30.40,0.03,1.12,0.05,2.76,0.24,5.65,0.00,2.85,0.00,36.11,0.25,0.20,0.86,0.50,0.27,0.64,36.11,0.00,293.00
A004,Barley (Hordeum vulgare),1321.00,315.72,61.29,10.94,1.30,0.06,15.64,232.00,90.79,575.00,28.64,178.00,48.97,7.56,268.00,1.56,0.43,18.61,0.03,1.24,0.03,1.50,0.01,0.00,0.00,1.85,0.00,31.58,0.36,0.18,2.84,0.14,0.31,2.38,31.58,0.00,69.87
A005,Jowar (Sorghum vulgare),1398.00,334.12,67.68,9.97,1.73,1.27,10.22,163.00,314.00,524.00,27.60,274.00,133.00,5.42,328.00,3.95,0.45,26.29,0.01,1.19,0.04,1.96,0.06,3.96,0.00,43.82,0.00,39.42,0.35,0.14,2.10,0.27,0.28,0.70,39.42,0.00,212.00
A006,"Maize, dry (Zea mays)",1398.00,334.12,64.77,8.80,3.77,1.66,12.24,413.00,706.00,1606.00,8.91,279.00,145.00,4.44,291.00,2.49,0.45,8.69,0.01,0.71,0.04,2.27,0.36,33.60,0.00,2.50,0.00,25.81,0.33,0.09,2.69,0.34,0.34,0.49,25.81,0.00,893.00
A007,"Maize, tender, local (Zea mays)",502.00,119.98,22.69,3.57,1.40,1.47,3.67,109.00,147.00,347.00,6.35,163.00,47.62,2.24,167.00,0.71,0.18,3.83,0.00,0.36,0.01,0.97,0.09,42.34,0.00,2.00,0.00,62.96,0.17,0.12,1.13,0.35,0.45,1.70,62.96,4.26,1428.00
A008,"Maize, tender, sweet (Zea mays)",405.00,96.80,16.42,4.16,1.35,4.67,3.30,123.00,176.00,300.00,6.37,121.00,36.51,2.23,297.00,0.54,0.11,2.17,0.00,0.32,0.01,0.77,0.10,16.94,0.00,1.80,0.00,59.71,0.10,0.14,1.14,0.32,0.38,1.91,59.71,5.72,1035.00
A009,Quinoa (Chenopodium quinoa),1374.00,328.39,53.65,13.11,5.50,1.41,14.66,570.00,1424.00,2406.00,198.00,212.00,119.00,4.50,474.00,7.51,0.48,7.81,0.00,1.77,0.00,3.31,2.39,0.00,0.00,2.00,0.00,173.00,0.83,0.22,1.70,0.62,0.21,0.62,173.00,0.00,153.00
A010,Ragi (Eleusine coracana),1342.00,320.74,66.82,7.16,1.92,0.34,11.18,317.00,585.00,431.00,364.00,210.00,146.00,4.75,443.00,4.62,0.67,15.30,0.03,3.19,0.01,2.53,0.16,41.46,0.00,3.00,0.00,34.66,0.37,0.17,1.34,0.29,0.05,0.88,34.66,0.00,154.00
A011,Rice flakes (Oryza sativa ),1480.00,353.72,76.75,7.44,1.14,0.34,3.46,284.00,425.00,577.00,9.19,195.00,77.92,2.58,148.00,4.46,0.26,0.00,0.05,0.89,0.05,1.49,0.05,0.00,0.00,1.00,0.00,8.46,0.12,0.04,1.60,0.48,0.02,0.39,8.46,0.00,33.61
A012,Rice puffed (Oryza sativa ),1514.00,361.85,77.68,7.47,1.62,0.64,2.56,46.84,39.77,44.80,15.09,152.00,64.59,3.69,140.00,4.55,0.25,0.00,0.03,0.91,0.03,1.45,0.04,0.00,0.00,1.00,0.00,0.00,0.11,0.04,1.87,0.38,0.07,1.26,0.00,0.00,50.46
A013,"Rice, raw, brown (Oryza sativa )",1480.00,353.72,74.80,9.16,1.24,0.69,4.43,346.00,203.00,506.00,10.93,267.00,93.91,3.64,199.00,1.02,0.37,2.26,0.01,1.70,0.05,1.68,0.69,0.00,0.00,2.00,0.00,11.51,0.27,0.06,3.40,0.61,0.37,1.38,11.51,0.00,159.00
A014,"Rice, parboiled, milled (Oryza sativa )",1471.00,351.57,77.16,7.81,0.55,0.67,3.74,150.00,86.66,216.00,8.11,140.00,26.72,3.16,142.00,0.72,0.27,1.19,0.01,0.79,0.06,1.08,0.09,0.00,0.00,1.50,0.00,9.75,0.17,0.06,2.51,0.55,0.22,0.31,9.75,0.00,46.90
A015,"Rice, raw, milled (Oryza sativa )",1491.00,356.35,78.24,7.94,0.52,0.69,2.81,184.00,117.00,253.00,7.49,96.00,19.30,2.34,108.00,0.65,0.23,1.01,0.01,0.73,0.06,1.21,0.06,0.00,0.00,1.50,0.00,9.32,0.05,0.05,1.69,0.57,0.12,0.60,9.32,0.00,16.87
A016,Samai (Panicum miliare),1449.00,346.31,65.55,10.13,3.89,0.37,7.72,589.00,868.00,1277.00,16.06,130.00,91.41,4.77,105.00,1.26,0.34,40.41,0.02,0.23,0.02,1.82,0.55,3.75,0.00,4.47,0.00,36.20,0.26,0.05,1.29,0.60,0.04,6.03,36.20,0.00,120.00
A017,Varagu (Paspalum scrobiculatum),1388.00,331.73,66.19,8.92,2.55,1.29,6.39,246.00,297.00,597.00,15.27,101.00,122.00,3.35,94.00,2.34,0.26,14.12,0.02,0.33,0.02,1.65,0.07,0.00,0.00,3.75,0.00,39.49,0.29,0.20,1.49,0.63,0.07,1.49,39.49,0.00,272.00
A018,"Wheat flour, refined (Triticum aestivum)",1472.00,351.81,74.27,10.36,0.76,1.79,2.76,98.55,50.64,343.00,20.40,110.00,30.69,1.54,148.00,1.77,0.17,0.00,0.01,0.63,0.01,0.88,0.05,6.73,0.00,1.00,0.00,16.25,0.15,0.06,0.77,0.72,0.08,0.58,16.25,0.00,270.00
A019,"Wheat flour, atta (Triticum aestivum)",1340.00,320.26,64.17,10.57,1.53,1.80,11.36,206.00,149.00,742.00,30.94,315.00,125.00,2.04,311.00,4.10,0.48,53.12,0.01,2.98,0.02,2.85,0.26,13.43,0.00,1.50,0.00,29.22,0.42,0.15,2.37,0.87,0.25,0.76,29.22,0.00,284.00
A020,"Wheat, whole (Triticum aestivum)",1347.00,321.93,64.72,10.59,1.47,1.77,11.23,191.00,141.00,654.00,39.36,315.00,125.00,2.50,366.00,3.97,0.49,47.76,0.01,3.19,0.07,2.85,0.77,17.49,0.00,1.75,0.00,30.09,0.46,0.15,2.68,1.08,0.26,1.03,30.09,0.00,287.00
A021,"Wheat, bulgur (Triticum aestivum)",1430.00,341.77,69.06,10.84,1.45,1.20,8.81,196.00,152.00,700.00,27.09,245.00,116.00,2.09,330.00,3.86,0.40,10.54,0.01,1.95,0.03,1.97,0.21,6.27,0.00,1.50,0.00,26.30,0.24,0.12,2.05,0.84,0.24,2.50,26.30,0.00,191.00
A022,"Wheat, semolina (Triticum aestivum)",1396.00,333.64,68.43,11.38,0.74,1.65,9.72,88.87,67.34,325.00,29.38,119.00,37.89,2.31,284.00,2.98,0.46,10.93,0.01,1.98,0.02,2.13,0.20,8.19,0.00,1.20,0.00,25.68,0.29,0.04,1.13,0.75,0.11,0.44,25.68,0.00,276.00
A023,"Wheat, vermicelli (Triticum aestivum)",1392.00,332.69,70.39,9.70,0.45,1.68,9.28,64.59,36.06,220.00,19.42,99.00,34.18,2.71,163.00,2.02,0.19,15.33,0.01,0.67,0.03,0.83,0.03,4.06,0.00,1.00,0.00,14.35,0.13,0.01,0.86,0.52,0.03,2.00,14.35,0.00,39.54
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",1423.00,340.10,71.42,10.37,0.49,2.14,9.55,49.95,28.84,170.00,22.63,107.00,39.03,3.43,177.00,2.09,0.22,14.29,0.01,0.75,0.02,0.88,0.01,3.21,0.00,1.00,0.00,13.21,0.12,0.01,0.67,0.49,0.03,1.34,13.21,0.00,21.33
A025,Foxtail millet (Italian millet),1384.90,331.00,60.90,12.30,4.30,0.00,8.00,0.00,0.00,0.00,31.00,290.00,81.00,4.60,250.00,2.80,1.40,0.00,0.03,0.60,0.07,2.40,0.00,0.00,0.00,0.00,0.00,15.00,0.59,0.11,3.20,0.00,0.00,0.00,15.00,0.00,32.00
A027,Proso millet (Panivaragu),1426.74,341.00,70.40,12.50,1.10,0.00,2.20,0.00,0.00,0.00,14.00,206.00,153.00,8.20,113.00,0.80,1.60,0.00,0.02,0.60,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.18,2.30,0.00,0.00,0.00,0.00,0.00,0.00
A028,"Rice, parboiled, handpounded",1460.22,349.00,77.40,8.50,0.60,0.00,0.00,0.00,0.00,0.00,10.00,280.00,157.00,0.00,0.00,2.80,0.24,0.00,0.01,1.10,0.08,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.12,4.00,0.00,0.00,0.00,0.00,0.00,9.00
A029,"Rice, raw, handpounded",1447.66,346.00,76.70,7.50,1.00,0.00,0.60,0.00,0.00,0.00,10.00,190.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.16,3.90,0.00,0.00,0.00,0.00,0.00,2.00
A030,"Rice, bran",1644.31,393.00,48.40,13.50,16.20,0.00,4.30,0.00,0.00,0.00,67.00,1410.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.48,29.80,0.00,0.00,0.00,0.00,0.00,0.00
A031,Barnyard millet (Sanwa millet),1284.49,307.00,65.50,6.20,2.20,0.00,9.80,0.00,0.00,0.00,20.00,280.00,82.00,0.00,0.00,5.00,0.60,0.00,3.00,0.97,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.10,4.20,0.00,0.00,0.00,0.00,0.00,0.00
A032,"Wheat, germ",1661.05,397.00,53.30,29.20,7.40,0.00,1.40,0.00,0.00,0.00,40.00,846.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.54,2.90,0.00,0.00,0.00,0.00,0.00,0.00
A035,Bamboo seeds,1535.53,367.00,75.90,13.10,1.20,0.00,0.90,0.00,0.00,0.00,37.00,162.00,32.00,91.00,0.00,6.40,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.12,1.10,0.00,0.00,0.00,0.00,0.00,0.00
A036,Banti,1133.86,271.00,74.70,8.30,4.30,0.00,0.00,0.00,0.00,0.00,14.00,121.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.03,1.80,0.00,0.00,0.00,0.00,0.00,0.00
A037,Buckwheat,1351.43,323.00,65.10,10.30,2.40,0.00,8.60,0.00,0.00,0.00,64.00,355.00,227.00,16.20,362.00,15.50,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.34,4.40,0.00,0.00,0.00,0.00,0.00,0.00
A038,Chenopodium album seeds,0.00,0.00,0.00,14.40,7.30,0.00,0.00,0.00,0.00,0.00,300.00,416.00,292.00,0.00,0.00,5.30,0.52,0.00,0.00,2.13,0.07,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,3.50,0.00,0.00,0.00,0.00,0.00,0.00
A039,Cowage seed flour,1665.23,398.00,55.60,28.20,7.00,0.00,2.20,0.00,0.00,0.00,188.00,211.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A040,Daincha seeds,1368.17,327.00,45.10,28.10,3.80,0.00,8.60,0.00,0.00,0.00,240.00,390.00,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A041,Job's tears,1581.55,378.00,63.40,17.50,6.00,0.00,0.50,0.00,0.00,0.00,23.00,408.00,0.00,0.00,0.00,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.15,6.70,0.00,0.00,0.00,0.00,0.00,0.00
A042,Oatmeal,1564.82,374.00,62.80,13.60,7.60,0.00,3.50,0.00,0.00,0.00,50.00,380.00,0.00,0.00,0.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.98,0.16,1.10,0.00,0.00,0.00,34.00,0.00,0.00
A043,Kittul flour,1418.38,339.00,81.70,2.40,0.30,0.00,0.00,0.00,0.00,0.00,130.00,60.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A044,Lotus seed,1447.66,346.00,64.00,17.20,2.40,0.00,2.60,0.00,0.00,0.00,36.00,294.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A045,Makhana,1451.85,347.00,76.90,9.70,0.10,0.00,0.00,0.00,0.00,0.00,20.00,90.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A046,Rajkeera seeds,1522.98,364.00,62.70,16.50,5.30,0.00,2.70,0.00,0.00,0.00,223.00,655.00,351.00,0.00,0.00,17.60,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A047,Water lily seeds,1443.48,345.00,75.60,8.30,1.00,0.00,4.20,0.00,0.00,0.00,20.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
