SKU,Brand,MRP
Fruit Fusion 60g,Harvest Gold,22
Fruit Fusion 105g,Harvest Gold,35
Choco Cheer 60g,Harvest Gold,22
Choco Cheer 105g,Harvest Gold,35
Hg Cheer Cake Fruit Fusion 110g (IRCTC),Harvest Gold,44
Fruit Fusion Cake (E) 55g,Modern,18
Ribbon Duet Cake 120 gm,Modern,30
Pineapple Pop Cake 120 gm,Modern,30
Choco Cheer Cake 55 gm,Modern,18
Wow Vanilla Cake 55 gm,Modern,18
Pineapple Pop Cake 55 gm,Modern,18
Wow Vanilla Cake 120 gm,Modern,30
Fruit Fusion Cake 120g,Modern,30
Wow Vanilla Cake 120gm Che,Modern,30
Pineapple Pop Cake 120gm Che,Modern,30
Ribbon Duet Cake 120gm Che,Modern,30
Fruit Fusion 120gm Che,Modern,30
Modern Fruit Fusion Eggless 60g 36pcs,Modern,22
Modern Fruit Fusion Eggless 105g 18pcs,Modern,35
Modern Choco Cheer Eggless 60g,Modern,22
Modern Choco Cheer Eggless 105g,Modern,35
Modern Fruit Fusion 110g,Modern,30
Modern Choco Cheer 110g,Modern,30
Modern Fruit Fusion 100g,Modern,26
Modern Choco Cheer 100g,Modern,26
Hg-Choco Brownie 40g,Harvest Gold,18
Hg-Walnut Brownie 40g,Harvest Gold,18
Hg-Choco Brownie 120g (3 In 1),Harvest Gold,67
Hg-Walnut Brownie 120g (3 In 1),Harvest Gold,67
Modern-Choco Brownie 40g,Modern,18
Modern-Walnut Brownie 40g,Modern,18
Modern-Choco Brownie 120g (3 In 1),Modern,67
Modern-Walnut Brownie 120g (3 In 1),Modern,67
Modern Osmania Cookies 180g,Modern,90
Modern Fruit & Nut Cookies 180g,Modern,95
Modern Coconut Cookies 200g,Modern,80
Choco Cheer Muffins 150g,Modern,48
Fruit Fusion Muffins 150g,Modern,48
Plum Celebration Cake 1kg (Box),Modern,330
Plum Celebration Cake 330g (Poly),Modern,115
Plum Celebration Cake 500g (Box),Modern,170
Carrot Pudding Cake 250g (Box),Modern,115
English Tea Cake Vanilla 260g MT Ec,Modern,135
Modern English Tea Cake 260g Gt New,Modern,115
Fruit N Nut Cake 140g,Modern,52
Banana Pudding Cake 140g,Modern,52
Boondi 150g,Harvest Gold,37
Fruit Fantasy Cake 300g (Box)- Кос,Modern,152
Modern Fruit Fusion 30g,Modern,9
Modern Choco Cheer 30g,Modern,9
HG Cremburst Choco (Vanilla Cream) 29g,Harvest Gold,9
HG Cremburst Vanilla (Straw. Cream) 29g,Harvest Gold,9
Crem Burst Choco (Vanilla Cream) 30g,Modern,9
Crem Burst Vanilla(Strawberry Cream) 30g,Modern,9
HG Vanilla Cup Cake Eggless 30g (Irctc),Harvest Gold,9
HG Crem Bite Vanilla Layer Cake 25g,Harvest Gold,9
HG Crem Bite Choco Layer Cake 25g,Harvest Gold,9
Modern Layer Cake Choco 150g (6 In 1),Modern,62
Modern Crem Bite Choco Layer Cake 25g,Modern,9
Modern Crem Bite Vanilla Layer Cake 25g,Modern,9
Modern Crem Bite Mixed Fruit Layer Cake 25g,Modern,9
HG Crem Bite Mixed Fruit Layer Cake 25g,Harvest Gold,9
Boondi 33g,Harvest Gold,9
Pudina Boondi 33g,Harvest Gold,9
Boondi 66g,Harvest Gold,18
Pudina Boondi 66g,Harvest Gold,18
HG Crembite Choco 25g (Crem Mania),Harvest Gold,9
HG Crembite Mix Fruit 25g (Crem Mania),Harvest Gold,9
Modern Crembite Choco 25g (Crem Mania),Modern,9
Modern Crembite Vanilla 25g (Crem Mania),Modern,9
HG Crembite Vanilla 25g (Crem Mania),Harvest Gold,9
Modern Crembite Mix Fruit 25g (Crem Mania),Modern,9
Modern Cremburst Vanilla (Strawberry Crem) Crem Mania 30g,Modern,9
Modern Cremburst Choco (Vanilla Crem) Crem Mania 30g,Modern,9
